LIB_ID,SGD_DB_ID,SYS_ID,GENE_SYM,NAME,PHENOTYPE,DESCRIPTION
AEP3,S000005926,YPL005W,AEP3,ATPase ExPression,"Non-essential gene; null mutation increases frequency of mitochondrial genome loss (rho- mutations) and leads to respiratory growth defect; in systematic studies, null mutant grows slowly, produces small cells and shows strong vacuolar fragmentation; in diploids under competitive growth conditions, homozygous null mutation results in sensitivity to oxidative stress and increased resistance to cell wall-affecting chemicals, such as caffeine and Calcofluor White, and to DNA-damaging factors, such as MMS, idarubicin, melphalan
",Peripheral mitochondrial inner membrane protein; may facilitate use of unformylated tRNA-Met in mitochondrial translation initiation; stabilizes the bicistronic AAP1-ATP6 mRNA
AFG2,S000004389,YLR397C,AFG2,ATPase Family Gene,"Essential gene; repression leads to defects in nuclear export and accumulation of large ribosomal subunits in the nucleus; repression also results in opi- phenotype (overproduction and excretion of inositol in the absence of inositol and choline)
","ATPase of the CDC48/PAS1/SEC18 (AAA) family, forms a hexameric complex; is essential for pre-60S maturation and release of several preribosome maturation factors; releases Rlp24p from purified pre-60S particles in vitro; target of the ribosomal biosynthesis inhibitor diazaborine; may be involved in degradation of aberrant mRNAs"
AFG3,S000000819,YER017C,AFG3,ATPase Family Gene,"Non-essential gene; null mutant is unable to use nonfermentable carbon sources and has a lengthened replicative lifespan, although lifespan extension by caloric restriction is less than in wild type; null mutant displays increased resistance to oxidative and heat stress; null mutant accumulates decreased levels of cardiolipin in mitochondrial membranes; in large-scale studies, null mutant shows reduced competitive fitness and altered sensitivity to a variety of drugs
",Mitochondrial inner membrane m-AAA protease component; mediates degradation of misfolded or unassembled proteins; also required for correct assembly of mitochondrial enzyme complexes; involved in cytoplasmic mRNA translation and aging; expression of human homolog AFG3L2 can complement yeast yta12 afg3 double mutant
AFT1,S000003039,YGL071W,AFT1,Activator of Ferrous Transport,"Non-essential gene; null mutant displays a decreased growth rate, reduced competitive fitness and respiratory growth defects; null mutant is sensitive to metals, alkaline pH, and a variety of chemicals; null mutant displays chromosome instability, has decreased cell size and delayed progression through the G1 phase of the cell cycle; ovexpression and constitutively active alleles also display decreased growth rates
","Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress"
AIM10,S000000889,YER087W,AIM10,Altered Inheritance rate of Mitochondria,"Non-essential gene; null mutant is heat sensitive, has a vegetative growth defect, a respiratory growth defect and displays reduced competitive fitness in various media; null mutant has a decreased ability to utilize the carbon source galactose and the nitrogen sources, glutamine and proline; null mutant displays a decreased frequency of spontaneous mitochondrial genome loss but an elevated nuclear mutation frequency; null mutant has a small cell size, decreased chronological lifespan, decreased desiccation resistance, and displays a reduction in the number of lipid particles per cell; heterozygous null mutant is haploinsufficient
",Protein with similarity to tRNA synthetases; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays elevated frequency of mitochondrial genome loss
AIM11,S000002960,YER093C-A,AIM11,Altered Inheritance rate of Mitochondria,"Non-essential gene; null mutant displays decreased competitive fitness in media containing either fermentable or non-fermentable carbon sources, and a decreased rate of respiratory growth; null mutant displays an increased frequency of spontaneous mitochondrial genome loss; null mutant has decreased chronological lifespan, decreased desiccation resistance and is defective in biofilm formation; null mutant is inhibited by palmitoleic acid but stimulated by oleic acid
","Protein of unknown function; null mutant is viable but shows increased loss of mitochondrial genome and synthetic interaction with prohibitin (phb1); contains an intron; SWAT-GFP and mCherry fusion proteins localize to the mitochondria; YER093C-A has a paralog, YBL059W, that arose from the whole genome duplication"
AIM22,S000003582,YJL046W,AIM22,Altered Inheritance rate of Mitochondria,"Non-essential gene; null mutant displays decreased competitive fitness in various media, a decreased respiratory growth rate, and decreased rate of utilization of various carbon and nitrogen sources; null mutant has a reduced cell size, increased heat sensitivity, and decreased chronological lifespan; null mutant displays a reduced frequency of spontaneous mitochondrial genome loss and elevated levels of Rnr3p, indicative of genome instability; null mutant contains severely reduced lipoate levels and is unable to lipoylate several mitochondrial enzymes; null mutant has decreased resistance to oxidative stress and desiccation but increased resistance to zinc deficiency
",Putative lipoate-protein ligase; required along with Lip2 and Lip5 for lipoylation of Lat1p and Kgd2p; similar to E. coli LplA; null mutant displays reduced frequency of mitochondrial genome loss
AIM26,S000001520,YKL037W,AIM26,Altered Inheritance rate of Mitochondria,"Non-essential gene in S288C, but essential in the SK1 background; S288C null mutant has a small cell size in a saturated culture, a decreased growth rate on fermentable and nonfermentable carbon sources, decreased competitive fitness on various media, and a reduction in the ability to utilize galactose as carbon source and arginine or glutamate as nitrogen sources; null mutant displays an increased frequency of spontaneous mitochondrial genome loss and has defects in both mitophagy and autophagy; null has decreased innate thermotolerance, decreased chronological lifespan, decreased resistance to desiccation, and decreased resistance to both gliotoxin and killer toxin
",Protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss; null mutation confers sensitivity to tunicamycin and DTT
AIM44,S000006079,YPL158C,AIM44,Altered Inheritance rate of Mitochondria,"Non-essential gene; null mutant displays decreased rates of fermentative and respiratory growth, and decreased competitive fitness in various media; null mutant accumulates mother cells that retain a connection to two or more buds, displays a thin secondary septum, a reduction in the accumulation of Rho1p at the bud neck after actomyosin ring (AMR) contraction, and an abnormal reaccumulation of Cdc42p at bud neck after AMR contraction, all indicative of abnormal coordination of cytokinesis and polarity establishment; null mutant displays an increased frequency of spontaneous mitochondrial genome loss; null mutant has increased chitin deposition, decreased endocytosis and decreased peroxisomal protein transport; overexpression results in decreased filamentation and invasive growth in the presence of short-chain alcohols and increased invasive growth in nitrogen-sufficient medium
","Regulator of Cdc42p and Rho1p; regulates AMR closure through Hof1p; inhibits Cdc42-dependent Cla4 activation at the division site, to prevent budding in the old bud neck; recruits Nis1p and Nba1p to the division site with Nap1 and the Rax1p-Rax2p dependent inheritance of Nis1p and Nba1p to bud scars to prevent division site repolarization; keeps Rho1p at the division site after AMR contraction to control secondary septum formation; relocalizes from bud neck to cytoplasm upon replication stress"
ALA1,S000005862,YOR335C,ALA1,ALAnyl-tRNA synthetase,"Essential gene; conditional mutants are impaired in cell cycle progression at elevated temperatures; reduced function mutants show decreased competitive fitness and have shortened telomeres; heterozygous diploid nulls are sensitive to zinc chloride and to oxidative stress; overexpression slows vegetative growth in S288C, increases invasive growth in Sigma1278b
",Cytoplasmic and mitochondrial alanyl-tRNA synthetase; required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog AARS; mutations in human homolog AARS are associated with autoimmune disease polymyositis/dermatomyositis
ALG1,S000000314,YBR110W,ALG1,Asparagine-Linked Glycosylation,"Essential gene; conditional mutants are senstive to heat and impaired in invertase glycosylation; reduced function mutants show increased competitive fitness, increased sensitivity to DNA-damaging agent methyl methanesulfonate (MMS); heterozygous diploid nulls are sensitive to starvation
",Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant
ALG13,S000003015,YGL047W,ALG13,Asparagine-Linked Glycosylation,"Essential gene; reduced function mutants show decreased competitive fitness, increased sensitivity to rapamycin and to DNA-damaging agents methyl methanesulfonate (MMS) and hydroxyurea (HU); heterozygous diploid nulls have small cells
",Catalytic component of UDP-GlcNAc transferase; required for the second step of dolichyl-linked oligosaccharide synthesis; anchored to the ER membrane via interaction with Alg14p; similar to bacterial and human glycosyltransferases; protein abundance increases in response to DNA replication stress; both human homologs ALG13 and ALG14 are required to complement yeast alg13 mutant
ALG14,S000000274,YBR070C,ALG14,Asparagine Linked Glycosylation,"Essential gene; conditional mutants are sensitive to heat; reduced function mutants show increased competitive fitness, increased sensitivity to DNA-damaging agent methyl methanesulfonate (MMS) and to heat; repression increases chromosome rearrangements and chromosome loss
",Component of UDP-GlcNAc transferase; required for second step of dolichyl-linked oligosaccharide synthesis; anchors catalytic subunit Alg13p to ER membrane; similar to bacterial and human glycosyltransferases; both human homologs ALG13 and ALG14 are required to complement yeast alg14 mutant
ALG2,S000003033,YGL065C,ALG2,Asparagine-Linked Glycosylation,"Essential gene; mutations cause sensitivity to gentamycin, hygromycin B, kanamycin and neomycin B; repression leads to increased sensitivity to MMS and myriocin; overexpression results in slow growth
","Mannosyltransferase in the N-linked glycosylation pathway; catalyzes two consecutive steps in the N-linked glycosylation pathway; alg2 mutants exhibit temperature-sensitive growth and abnormal accumulation of the lipid-linked oligosaccharide Man2GlcNAc2-PP-Dol; human ALG2 complements the temperature sensitivity and dolichol-linked oligosaccharide biosynthesis defect of the alg2-1 mutant, but mutant form from a patient with CDG-Ii fails to complement"
ALG7,S000000447,YBR243C,ALG7,Asparagine-Linked Glycosylation,"Essential gene; activation blocks sporulation, increases resistance to GlcNAc phosphotransferase (GPT) inhibitor tunicamycin; reduced function mutants show decreased competitive fitness, decreased resistance to tunicamycin; repression causes loss of the mitochondrial genome, and decreased accumulation of dolichol-linked oligosaccharides; heterozygous diploid nulls are sensitive to tunicamycin
",UDP-N-acetyl-glucosamine-1-P transferase; transfers Glc-Nac-P from UDP-GlcNac to Dol-P in the ER in the first step of the dolichol pathway of protein asparagine-linked glycosylation; inhibited by tunicamycin; human homolog DPAGT1 can complement yeast ALG7 mutant
ALR1,S000005490,YOL130W,ALR1,ALuminum Resistance,"Null mutants grow very slowly; reduced function mutants show decreased competitive fitness, increased sensitivity to microtubule-destabilizing agent benomyl; overexpression slows growth, increases sensitivity to rapamycin
",Plasma membrane Mg(2+) transporter; expression and turnover are regulated by Mg(2+) concentration; overexpression confers increased tolerance to Al(3+) and Ga(3+) ions; magnesium transport defect of the null mutant is functionally complemented by either of the human genes MAGT1 and TUSC3 that are not orthologous to ALR1
AME1,S000000415,YBR211C,AME1,Associated with Microtubules and Essential,"Essential gene; conditional mutant is heat sensitive, arresting in anaphase at the restrictive temperature, and displays reduced vegetative growth at permissive temperatures; conditional, repressible and heterozygous null mutants display chromosomal instability, including elevated chromosome loss and chromosomal rearrangements; overexpression results in the accumulation of large-budded cells with 2C DNA content, indicative of a G2 or M phase delay or arrest
","Essential kinetochore protein associated with microtubules and SPBs; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p); involved in spindle checkpoint maintenance; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-U and fission yeast Mis17; relative distribution to the nucleus increases upon DNA replication stress"
AOS1,S000006384,YPR180W,AOS1,Activation Of Smt3p,"Essential gene; repression leads to opi- phenotype (overproduction and excretion of inositol in the absence of inositol and choline)
","Subunit of heterodimeric nuclear SUMO activating enzyme E1 with Uba2p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability; relocalizes to the cytosol in response to hypoxia"
APC1,S000005116,YNL172W,APC1,Anaphase Promoting Complex subunit,"Essential gene; reduction of function increases competitive fitness
","Largest subunit of the Anaphase-Promoting Complex/Cyclosome; APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis; localizes to nuclear foci that become diffuse upon DNA replication stress"
APC11,S000002166,YDL008W,APC11,Anaphase Promoting Complex,"Essential gene; conditional (ts) mutants show cell cycle arrest at G2/M phase transition, abnormal spindle morphology, chromosome instability and sensitivity to hydroxyurea
","Catalytic core subunit, Anaphase-Promoting Complex/Cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; contains a RING-H2 domain that is required for activity"
APC2,S000004117,YLR127C,APC2,Anaphase Promoting Complex,"Essential gene; reduction of function decreases competitive fitness; haploproficient but heterozygous diploid is sensitive to starvation
","Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the catalytic core of the APC/C; has similarity to cullin Cdc53p"
APC4,S000002525,YDR118W,APC4,Anaphase Promoting Complex,"Essential gene; conditional (ts) mutant shows chromosome instability; reduction of function leads to reduced telomere length and increased competitive fitness
","Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis; relative distribution to the nucleus increases upon DNA replication stress"
APC5,S000005775,YOR249C,APC5,Anaphase Promoting Complex,"Essential gene; reduction-of-function mutations cause cell cycle arrest at G2/M phase transition, increased competitive fitness and shortened chronological and replicative lifespan; some mutations elevate resistance to benomyl and cycloheximide
","Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis; relative distribution to nuclear foci decreases upon DNA replication stress"
APN2,S000000115,YBL019W,APN2,APurinic/apyrimidinic eNdonuclease,"Non-essential gene; null mutant shows increased mutation frequency and sensitivity to topoisomerase inhibitor beta-lapachone; in large-scale studies null mutants show no respiratory growth and reduced mitophagy
",Class II abasic (AP) endonuclease involved in repair of DNA damage; resolves blocked 3' ends that result from removal of misincorporated nucleotides; homolog of human HAP1 and E. coli exoIII
ARB1,S000000838,YER036C,ARB1,ATP-binding cassette protein involved in Ribosome Biogenesis,"Null mutants are inviable under standard aerobic conditions, viable but slow-growing under anaerobic conditions; reduced function mutants show decreased competitive fitness
","ATPase of the ATP-binding cassette (ABC) family; involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p; shuttles from nucleus to cytoplasm, physically interacts with Tif6p, Lsg1p; human homolog ABCF2 can complement yeast ARB1 mutant"
ARC15,S000001324,YIL062C,ARC15,ARp2/3 Complex subunit,"Non-essential gene; null mutant forms abnormal actin cytoskeleton structures, grows very slowly and produces spores with low viability
",Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; has mRNA binding activity
ARC19,S000001496,YKL013C,ARC19,ARp2/3 Complex subunit,"Non-essential gene; null mutant forms aberrant actin structures, grows very slowly, and produces spores with reduced viability
",Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; mutation is functionally complemented by human ARPC4
ARC35,S000005318,YNR035C,ARC35,ARp2/3 Complex subunit,"Non-essential gene; null mutant forms aberrant actin structures, grows very slowly, and produces spores with reduced viability; conditional (ts) mutant shows decreased endocytosis and increased sensitivity to hyperosmotic stress; repression causes abnormal mitochondrial morphology and confers resistance to myriocin
",Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; required for cortical localization of calmodulin
ARC40,S000000438,YBR234C,ARC40,ARp2/3 Complex subunit,"Non-essential gene; null mutant forms aberrant actin structures, grows very slowly, and produces spores with reduced viability; repression causes abnormal mitochondrial morphology, elevated excretion of inositol and confers resistance to myriocin
",Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches
ARD1,S000001055,YHR013C,ARD1,ARrest Defective,"Non-essential gene; null mutant displays decreased pheromone sensitivity, reduced mating efficiency and sporulation, decreased respiratory growth; increased heat sensitivity and decreased innate thermotolerance; null mutation also decreases survival rate in stationary phase
","Subunit of protein N-terminal acetyltransferase NatA; NatA comprises Nat1p, Ard1p, Nat5p; acetylates many proteins to influence telomeric silencing, cell cycle, heat-shock resistance, mating, sporulation, early stages of mitophagy; protein abundance increases under DNA replication stress; mutations in human homolog X-linked NAA10 lead to Ogden syndrome (S37P) and intellectual disability (R116W); expression of human NAA10 and NAA15 can complement ard1 nat1 double mutant"
ARH1,S000002784,YDR376W,ARH1,Adrenodoxin Reductase Homolog,"Essential gene under standard aerobic conditions; null mutant grows slowly under anaerobic condition; repression casues accumulation of ubiquinone-6; overexpression in Sigma1278b leads to increased invasive growth
",Oxidoreductase of the mitochondrial inner membrane; involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability
ARL3,S000005972,YPL051W,ARL3,ADP-Ribosylation factor-Like,"Non-essential gene; null mutant mislocalizes Golgi protein Arl1p to cytoplasm; null mutant has fragmented vacuoles and shows increased sensitivity to protein glycosylation inhibitor, tunicamycin, and cell wall-affecting dye, Congo Red
","ARF-like small GTPase of the RAS superfamily; required for recruitment of Arl1p, a GTPase that regulates membrane traffic, to the Golgi apparatus; NatC-catalyzed N-terminal acetylation regulates Golgi membrane association mediated by interaction with membrane receptor, Sys1p; similar to ADP-ribosylation factor and orthologous to mammalian ARFRP1"
ARP2,S000002187,YDL029W,ARP2,Actin-Related Protein,"Essential/non-essential gene; null mutant has been reported to be either viable and slow growing or inviable in S288C; conditional mutant arrests non-uniformly and loses viability; conditional mutant displays abnormal actin cytoskeleton morphology, abnormal bud morphology, a random budding pattern in both haploids and diploids, abnormal chitin deposition, defective endocytosis and sensitivity to hyperosmotic stress; conditional mutant displays decreased mitochondrial movement velocity, loss of directed movement, and abnormal mitochondrial morphology; homozygous conditional diploid has a defect in spore wall formation and a severe sporulation defect; hypomorphic DAmP allele has reduced telomere length
",Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity; required for efficient Golgi-to-ER trafficking in COPI mutants
ARP3,S000003826,YJR065C,ARP3,Actin-Related Protein,"Essential/non-essential gene; null mutant has been reported to be either viable, poorly germinating and slow growing or inviable in S288C; conditional mutant arrests randomly and loses viability at elevated temperature; conditional mutant exhibits decreased actin-cortical patch motility, accumulates aggregates and immobile cables, and replaces cortical actin patches by bundle-like structures; conditional mutant is benomyl sensitive; reduction of function allele has decreased telomere length; heterozygous diploid null is haploinsufficient
",Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity
ARP4,S000003617,YJL081C,ARP4,Actin-Related Protein,"Essential gene; conditional mutant has a G1/S phase delay, a metaphase arrest with elevated spindle elongation, breakage associated with lagging chromosomes in mother cells, and abnormal nuclear morphology; conditional mutant has non-uniform stationary phase arrest after prolonged cultivation, with abnormal nuclear morphology and decreased viability; conditional and reduction of function alleles are sensitive to hydroyurea, benomyl and rapamycin; repressible mutant displays increased spontaneous DNA damage and increased excretion of inositol
",Nuclear actin-related protein involved in chromatin remodeling; component of chromatin-remodeling enzyme complexes
ARP7,S000006238,YPR034W,ARP7,Actin-Related Protein,"Essential/non-essential gene in S288C; null mutant has been reported to be either viable, and slow growing or inviable in S288C; null mutant is viable and extremely slow growing in W303; S288C-derived viable null is unable to grow on media containing glycerol or sucrose as the sole carbon source and exhibits slow growth on galactose; repressible mutant displays abnormal mitochondrial morphology and increased chromosomal rearrangements and chromosome loss; heterozygous diploid null is haploinsufficient
",Component of both the SWI/SNF and RSC chromatin remodeling complexes; actin-related protein involved in transcriptional regulation
ARP9,S000004636,YMR033W,ARP9,Actin-Related Protein,"Essential/non-essential gene in S288C; null mutant has been reported to be either viable, and slow growing or inviable in S288C; null mutant is viable and extremely slow growing in W303; S288C-derived viable null is unable to grow on media containing glycerol, sucrose, or galactose as the sole carbon source; conditional mutant displays elevated chromosomal instability, including increased gross chromosomal rearrangements; heterozygous null mutant is heat sensitive
",Component of both the SWI/SNF and RSC chromatin remodeling complexes; actin-related protein involved in transcriptional regulation
ASA1,S000006289,YPR085C,ASA1,AStra Associated protein,"Essential gene; conditional (ts) mutation causes cell cycle arrest at G1 phase upon shift to non-permissive temperature and decreased levels of telomere length regulator Tel1p and TORC1 component Tor1p; reduction-of-function mutations confer rapamycin sensitivity and reduced telomere length
","Subunit of the ASTRA complex, involved in chromatin remodeling; telomere length regulator involved in the stability or biogenesis of PIKKs such as TORC1"
ASK1,S000001535,YKL052C,ASK1,Associated with Spindles and Kinetochores,"Essential gene; conditional (ts) mutations cause delayed metaphase-anaphase transition and abnormal spindle morphology; reduction of function leads to decreased competitive fitness
",Essential subunit of the Dam1 complex (aka DASH complex); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; phosphorylated during the cell cycle by cyclin-dependent kinases; sumoylated in an Mms21p-dependent manner; protein abundance increases in response to DNA replication stress
